Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.0000e-03,0.07,0.09
-1.9996e-03,0.07,0.11
-1.9992e-03,0.05,0.09
-1.9988e-03,0.07,0.11
-1.9984e-03,0.07,0.09
-1.9980e-03,0.07,0.09
-1.9976e-03,0.07,0.09
-1.9972e-03,0.07,0.11
-1.9968e-03,0.05,0.09
-1.9964e-03,0.07,0.09
-1.9960e-03,0.07,0.11
-1.9956e-03,0.05,0.11
-1.9952e-03,0.07,0.11
-1.9948e-03,0.05,0.09
-1.9944e-03,0.07,0.09
-1.9940e-03,0.07,0.11
-1.9936e-03,0.05,0.09
-1.9932e-03,0.07,0.11
-1.9928e-03,0.05,0.09
-1.9924e-03,0.05,0.11
-1.9920e-03,0.07,0.09
-1.9916e-03,0.07,0.09
-1.9912e-03,0.07,0.11
-1.9908e-03,0.05,0.09
-1.9904e-03,0.07,0.09
-1.9900e-03,0.09,0.09
-1.9896e-03,0.05,0.09
-1.9892e-03,0.07,0.09
-1.9888e-03,0.07,0.11
-1.9884e-03,0.05,0.09
-1.9880e-03,0.07,0.09
-1.9876e-03,0.07,0.11
-1.9872e-03,0.07,0.09
-1.9868e-03,0.07,0.11
-1.9864e-03,0.07,0.11
-1.9860e-03,0.07,0.09
-1.9856e-03,0.09,0.09
-1.9852e-03,0.07,0.09
-1.9848e-03,0.07,0.11
-1.9844e-03,0.05,0.09
-1.9840e-03,0.07,0.11
-1.9836e-03,0.05,0.11
-1.9832e-03,0.07,0.07
-1.9828e-03,0.07,0.09
-1.9824e-03,0.07,0.09
-1.9820e-03,0.07,0.09
-1.9816e-03,0.07,0.09
-1.9812e-03,0.07,0.09
-1.9808e-03,0.07,0.09
-1.9804e-03,0.07,0.11
-1.9800e-03,0.07,0.11
-1.9796e-03,0.07,0.11
-1.9792e-03,0.07,0.09
-1.9788e-03,0.07,0.09
-1.9784e-03,0.07,0.09
-1.9780e-03,0.05,0.11
-1.9776e-03,0.07,0.09
-1.9772e-03,0.07,0.11
-1.9768e-03,0.05,0.11
-1.9764e-03,0.07,0.09
-1.9760e-03,0.07,0.11
-1.9756e-03,0.07,0.07
-1.9752e-03,0.07,0.11
-1.9748e-03,0.05,0.09
-1.9744e-03,0.05,0.11
-1.9740e-03,0.07,0.09
-1.9736e-03,0.07,0.09
-1.9732e-03,0.07,0.11
-1.9728e-03,0.07,0.09
-1.9724e-03,0.07,0.11
-1.9720e-03,0.05,0.11
-1.9716e-03,0.07,0.09
-1.9712e-03,0.07,0.11
-1.9708e-03,0.05,0.09
-1.9704e-03,0.07,0.09
-1.9700e-03,0.07,0.11
-1.9696e-03,0.07,0.09
-1.9692e-03,0.07,0.09
-1.9688e-03,0.05,0.09
-1.9684e-03,0.05,0.11
-1.9680e-03,0.07,0.09
-1.9676e-03,0.07,0.09
-1.9672e-03,0.07,0.09
-1.9668e-03,0.07,0.09
-1.9664e-03,0.07,0.09
-1.9660e-03,0.07,0.09
-1.9656e-03,0.07,0.09
-1.9652e-03,0.05,0.09
-1.9648e-03,0.07,0.09
-1.9644e-03,0.05,0.11
-1.9640e-03,0.07,0.09
-1.9636e-03,0.05,0.09
-1.9632e-03,0.07,0.09
-1.9628e-03,0.05,0.11
-1.9624e-03,0.07,0.11
-1.9620e-03,0.05,0.09
-1.9616e-03,0.05,0.09
-1.9612e-03,0.07,0.11
-1.9608e-03,0.07,0.11
-1.9604e-03,0.07,0.11
-1.9600e-03,0.07,0.11
-1.9596e-03,0.07,0.07
-1.9592e-03,0.09,0.09
-1.9588e-03,0.05,0.09
-1.9584e-03,0.07,0.09
-1.9580e-03,0.05,0.09
-1.9576e-03,0.07,0.11
-1.9572e-03,0.09,0.09
-1.9568e-03,0.07,0.09
-1.9564e-03,0.07,0.11
-1.9560e-03,0.07,0.11
-1.9556e-03,0.07,0.09
-1.9552e-03,0.05,0.09
-1.9548e-03,0.09,0.09
-1.9544e-03,0.07,0.09
-1.9540e-03,0.07,0.07
-1.9536e-03,0.07,0.09
-1.9532e-03,0.07,0.11
-1.9528e-03,0.09,0.07
-1.9524e-03,0.07,0.09
-1.9520e-03,0.05,0.09
-1.9516e-03,0.07,0.11
-1.9512e-03,0.07,0.11
-1.9508e-03,0.07,0.09
-1.9504e-03,0.07,0.11
-1.9500e-03,0.07,0.11
-1.9496e-03,0.07,0.09
-1.9492e-03,0.07,0.11
-1.9488e-03,0.07,0.09
-1.9484e-03,0.07,0.11
-1.9480e-03,0.07,0.11
-1.9476e-03,0.09,0.09
-1.9472e-03,0.05,0.09
-1.9468e-03,0.07,0.11
-1.9464e-03,0.05,0.07
-1.9460e-03,0.07,0.09
-1.9456e-03,0.09,0.09
-1.9452e-03,0.09,0.11
-1.9448e-03,0.07,0.11
-1.9444e-03,0.07,0.09
-1.9440e-03,0.07,0.09
-1.9436e-03,0.07,0.07
-1.9432e-03,0.07,0.09
-1.9428e-03,0.05,0.11
-1.9424e-03,0.07,0.09
-1.9420e-03,0.05,0.09
-1.9416e-03,0.05,0.09
-1.9412e-03,0.05,0.09
