Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-5.00E-04,-0.716,-0.7
-5.00E-04,-0.716,-0.62
-5.00E-04,-0.7,-0.62
-5.00E-04,-0.704,-0.66
-5.00E-04,-0.708,-0.66
-5.00E-04,-0.7,-0.66
-4.99E-04,-0.7,-0.58
-4.99E-04,-0.704,-0.62
-4.99E-04,-0.696,-0.66
-4.99E-04,-0.692,-0.66
-4.99E-04,-0.696,-0.58
-4.99E-04,-0.704,-0.62
-4.99E-04,-0.692,-0.66
-4.99E-04,-0.688,-0.62
-4.99E-04,-0.692,-0.54
-4.99E-04,-0.684,-0.58
-4.98E-04,-0.688,-0.58
-4.98E-04,-0.684,-0.58
-4.98E-04,-0.676,-0.66
-4.98E-04,-0.68,-0.7
-4.98E-04,-0.672,-0.62
-4.98E-04,-0.676,-0.62
-4.98E-04,-0.676,-0.62
-4.98E-04,-0.656,-0.66
-4.98E-04,-0.672,-0.46
-4.98E-04,-0.664,-0.58
-4.97E-04,-0.66,-0.5
-4.97E-04,-0.668,-0.66
-4.97E-04,-0.664,-0.58
-4.97E-04,-0.656,-0.58
-4.97E-04,-0.668,-0.7
-4.97E-04,-0.668,-0.62
-4.97E-04,-0.66,-0.66
-4.97E-04,-0.656,-0.66
-4.97E-04,-0.664,-0.66
-4.97E-04,-0.664,-0.5
-4.96E-04,-0.656,-0.62
-4.96E-04,-0.656,-0.66
-4.96E-04,-0.648,-0.54
-4.96E-04,-0.644,-0.54
-4.96E-04,-0.652,-0.62
-4.96E-04,-0.644,-0.5
-4.96E-04,-0.648,-0.54
-4.96E-04,-0.64,-0.5
-4.96E-04,-0.652,-0.62
-4.96E-04,-0.648,-0.54
-4.95E-04,-0.64,-0.54
-4.95E-04,-0.64,-0.5
-4.95E-04,-0.632,-0.66
-4.95E-04,-0.636,-0.54
-4.95E-04,-0.632,-0.54
-4.95E-04,-0.632,-0.58
-4.95E-04,-0.628,-0.54
