Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Label,,
TIME,CH1,CH2
-1.000e-02,-1.49,0.1
-9.998e-03,-1.45,0.1
-9.996e-03,-1.45,0.06
-9.994e-03,-1.53,0.06
-9.992e-03,-1.51,0.1
-9.990e-03,-1.45,0.1
-9.988e-03,-1.47,0.1
-9.986e-03,-1.49,0.1
-9.984e-03,-1.49,0.06
-9.982e-03,-1.49,0.1
-9.980e-03,-1.51,0.1
-9.978e-03,-1.49,0.06
-9.976e-03,-1.49,0.14
-9.974e-03,-1.51,0.1
-9.972e-03,-1.51,0.14
-9.970e-03,-1.47,0.06
-9.968e-03,-1.47,0.06
-9.966e-03,-1.53,0.1
-9.964e-03,-1.49,0.06
-9.962e-03,-1.49,0.1
-9.960e-03,-1.49,0.06
-9.958e-03,-1.51,0.14
-9.956e-03,-1.45,0.06
-9.954e-03,-1.45,0.06
-9.952e-03,-1.47,0.1
-9.950e-03,-1.47,0.1
-9.948e-03,-1.47,0.1
-9.946e-03,-1.49,0.06
-9.944e-03,-1.49,0.14
-9.942e-03,-1.51,0.1
-9.940e-03,-1.45,0.1
-9.938e-03,-1.49,0.1
-9.936e-03,-1.49,0.1
-9.934e-03,-1.47,0.06
-9.932e-03,-1.49,0.06
-9.930e-03,-1.45,0.1
-9.928e-03,-1.45,0.06
-9.926e-03,-1.41,0.1
-9.924e-03,-1.51,0.14
-9.922e-03,-1.45,0.1
-9.920e-03,-1.51,0.1
-9.918e-03,-1.47,0.1
-9.916e-03,-1.47,0.06
-9.914e-03,-1.49,0.1
-9.912e-03,-1.49,0.06
-9.910e-03,-1.45,0.06
-9.908e-03,-1.45,0.1
-9.906e-03,-1.45,0.06
-9.904e-03,-1.45,0.06
-9.902e-03,-1.47,0.06
-9.900e-03,-1.51,0.06
-9.898e-03,-1.49,0.06
-9.896e-03,-1.47,0.06
-9.894e-03,-1.47,0.06
-9.892e-03,-1.45,0.1
-9.890e-03,-1.49,0.06
-9.888e-03,-1.45,0.1
-9.886e-03,-1.45,0.06
-9.884e-03,-1.45,0.06
-9.882e-03,-1.41,0.14
-9.880e-03,-1.45,0.1
-9.878e-03,-1.45,0.06
-9.876e-03,-1.49,0.06
-9.874e-03,-1.45,0.06
-9.872e-03,-1.45,0.06
-9.870e-03,-1.45,0.06
-9.868e-03,-1.47,0.06
-9.866e-03,-1.45,0.1
-9.864e-03,-1.47,0.06
-9.862e-03,-1.43,0.14
-9.860e-03,-1.45,0.06
-9.858e-03,-1.47,0.06
-9.856e-03,-1.41,0.1
-9.854e-03,-1.45,0.1
-9.852e-03,-1.47,0.06
-9.850e-03,-1.45,0.06
-9.848e-03,-1.45,0.1
-9.846e-03,-1.47,0.1
-9.844e-03,-1.45,0.06
-9.842e-03,-1.45,0.1
-9.840e-03,-1.43,0.1
-9.838e-03,-1.43,0.06
-9.836e-03,-1.43,0.06
-9.834e-03,-1.41,0.06
-9.832e-03,-1.47,0.1
-9.830e-03,-1.45,0.1
-9.828e-03,-1.43,0.06
-9.826e-03,-1.43,0.06
-9.824e-03,-1.45,0.1
-9.822e-03,-1.41,0.06
-9.820e-03,-1.45,0.06
-9.818e-03,-1.43,0.06
-9.816e-03,-1.43,0.1
-9.814e-03,-1.43,0.1
-9.812e-03,-1.45,0.1
-9.810e-03,-1.41,0.06
-9.808e-03,-1.39,0.14
-9.806e-03,-1.41,0.06
-9.804e-03,-1.43,0.1
-9.802e-03,-1.43,0.1
-9.800e-03,-1.45,0.1
-9.798e-03,-1.41,0.06
-9.796e-03,-1.37,0.06
-9.794e-03,-1.45,0.1
-9.792e-03,-1.43,0.06
-9.790e-03,-1.41,0.1
-9.788e-03,-1.41,0.06
-9.786e-03,-1.45,0.06
-9.784e-03,-1.41,0.06
-9.782e-03,-1.41,0.06
-9.780e-03,-1.47,0.06
-9.778e-03,-1.43,0.06
-9.776e-03,-1.41,0.1
-9.774e-03,-1.41,0.06
-9.772e-03,-1.43,0.1
-9.770e-03,-1.45,0.06
-9.768e-03,-1.41,0.06
-9.766e-03,-1.41,0.06
-9.764e-03,-1.41,0.06
-9.762e-03,-1.43,0.06
-9.760e-03,-1.39,0.1
-9.758e-03,-1.43,0.06
-9.756e-03,-1.45,0.06
-9.754e-03,-1.37,0.1
-9.752e-03,-1.37,0.14
-9.750e-03,-1.39,0.06
-9.748e-03,-1.43,0.06
-9.746e-03,-1.41,0.1
-9.744e-03,-1.39,0.02
-9.742e-03,-1.39,0.1
-9.740e-03,-1.39,0.06
-9.738e-03,-1.41,0.1
-9.736e-03,-1.35,0.1
-9.734e-03,-1.37,0.06
-9.732e-03,-1.45,0.1
-9.730e-03,-1.45,0.06
-9.728e-03,-1.39,0.1
-9.726e-03,-1.41,0.1
-9.724e-03,-1.39,0.14
-9.722e-03,-1.41,0.1
-9.720e-03,-1.37,0.1
-9.718e-03,-1.41,0.06
-9.716e-03,-1.39,0.14
-9.714e-03,-1.37,0.1
-9.712e-03,-1.41,0.06
-9.710e-03,-1.39,0.1
-9.708e-03,-1.39,0.06
-9.706e-03,-1.37,0.06
-9.704e-03,-1.37,0.1
-9.702e-03,-1.37,0.02
-9.700e-03,-1.39,0.06
-9.698e-03,-1.39,0.06
-9.696e-03,-1.39,0.1
-9.694e-03,-1.41,0.1
-9.692e-03,-1.37,0.1
-9.690e-03,-1.33,0.1
-9.688e-03,-1.39,0.14
-9.686e-03,-1.35,0.06
-9.684e-03,-1.37,0.06
-9.682e-03,-1.37,0.06
-9.680e-03,-1.39,0.1
-9.678e-03,-1.39,0.14
-9.676e-03,-1.37,0.06
-9.674e-03,-1.39,0.1
-9.672e-03,-1.35,0.1
-9.670e-03,-1.39,0.1
-9.668e-03,-1.33,0.06
-9.666e-03,-1.33,0.06
-9.664e-03,-1.37,0.06
-9.662e-03,-1.35,0.06
-9.660e-03,-1.41,0.06
-9.658e-03,-1.35,0.06
-9.656e-03,-1.33,0.06
-9.654e-03,-1.35,0.06
-9.652e-03,-1.37,0.06
-9.650e-03,-1.33,0.06
-9.648e-03,-1.35,0.06
-9.646e-03,-1.35,0.1
-9.644e-03,-1.37,0.06
-9.642e-03,-1.33,0.06
-9.640e-03,-1.33,0.06
-9.638e-03,-1.35,0.1
-9.636e-03,-1.33,0.1
-9.634e-03,-1.33,0.1
-9.632e-03,-1.33,0.06
-9.630e-03,-1.33,0.1
-9.628e-03,-1.37,0.06
-9.626e-03,-1.35,0.1
-9.624e-03,-1.33,0.06
-9.622e-03,-1.35,0.1
-9.620e-03,-1.35,0.1
-9.618e-03,-1.33,0.06
-9.616e-03,-1.31,0.06
-9.614e-03,-1.33,0.14
-9.612e-03,-1.33,0.06
-9.610e-03,-1.31,0.06
-9.608e-03,-1.33,0.06
-9.606e-03,-1.31,0.1
-9.604e-03,-1.33,0.06
-9.602e-03,-1.31,0.06
-9.600e-03,-1.33,0.06
-9.598e-03,-1.33,0.06
-9.596e-03,-1.33,0.1
-9.594e-03,-1.29,0.1
-9.592e-03,-1.31,0.1
-9.590e-03,-1.33,0.06
-9.588e-03,-1.33,0.1
-9.586e-03,-1.29,0.06
-9.584e-03,-1.33,0.06
-9.582e-03,-1.27,0.06
-9.580e-03,-1.29,0.06
-9.578e-03,-1.29,0.1
-9.576e-03,-1.29,0.06
